ts_datenstand,ts_download,bundesland,bundesland_iso,impfungen_kumulativ,differenz_zum_vortag,impfungen_pro_1_000_einwohner,indikation_nach_alter,berufliche_indikation,medizinische_indikation,pflegeheim_bewohner_in,notes,rs
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Bayern,BY,39005,1050,NA,7840,19500,718,14265,(Nachmeldungen für den 01.01. bereits für morgen angekündigt),NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Berlin,BE,13137,2023,NA,8662,3319,105,9817,NA,NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Brandenburg,BB,3219,NA,NA,204,2995,20,224,(für den 01.01. wurde nicht gemeldet),NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Bremen,HB,1741,NA,NA,821,408,6,237,NA,NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Hamburg,HH,3042,283,NA,1129,1703,NA,1341,NA,NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Hessen,HE,24791,3418,NA,6909,14480,955,9680,NA,NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Mecklenburg-Vorpommern,MV,11494,NA,NA,178,6583,8,4804,NA,NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Niedersachsen,NI,3945,379,NA,773,2105,827,2362,NA,NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Nordrhein-Westfalen,NW,33375,7908,NA,NA,11846,0,21537,NA,NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Rheinland-Pfalz,RP,6898,439,NA,NA,3166,NA,3732,NA,NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Saarland,SL,3316,600,NA,2508,335,NA,1294,NA,NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Sachsen,SN,4000,710,NA,297,3320,1,679,NA,NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Sachsen-Anhalt,ST,11771,625,NA,3782,5760,495,5793,NA,NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Schleswig-Holstein,SH,7964,694,NA,2130,4690,1798,3384,NA,NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Thüringen,TH,810,NA,NA,232,297,NA,413,NA,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Baden-Württemberg,BW,24063,4014,NA,11041,7428,1382,4200,NA,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Bayern,BY,57833,11742,NA,12855,25636,1091,20428,NA,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Berlin,BE,14616,1443,NA,9817,3647,105,10968,NA,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Brandenburg,BB,3219,NA,NA,204,2995,20,224,(keine Meldung für den 02.01.; Nachmeldung erfolgt am 04.01.2020),NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Bremen,HB,1837,96,NA,824,465,9,265,NA,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Hamburg,HH,3704,662,NA,1439,2010,NA,1696,NA,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Hessen,HE,30085,5294,NA,8443,17635,1096,11569,NA,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Mecklenburg-Vorpommern,MV,11494,NA,NA,178,6583,8,4804,NA,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Niedersachsen,NI,4962,1017,NA,912,2641,982,2918,NA,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Nordrhein-Westfalen,NW,48691,13142,NA,NA,18806,NA,29893,NA,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Rheinland-Pfalz,RP,7248,59,NA,NA,3516,NA,3732,(Nachmeldungen der mobilen Teams stehen noch aus),NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Saarland,SL,4149,833,NA,3122,495,NA,1580,NA,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Sachsen,SN,4343,343,NA,368,3535,1,807,NA,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Sachsen-Anhalt,ST,12822,1051,NA,4237,6194,546,6410,NA,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Schleswig-Holstein,SH,8933,969,NA,2525,5136,2077,3987,NA,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Thüringen,TH,810,NA,NA,232,297,NA,413,NA,NA
