ts_datenstand,ts_download,bundesland,bundesland_iso,impfungen_neu,indikation_nach_alter_neu,medizinische_indikation_neu,berufliche_indikation_neu,pflegeheim_bewohner_in_neu,notes
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Mecklenburg-Vorpommern,MV,2359,355,19,1722,1884,NA
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Niedersachsen,NI,7444,1868,1586,3524,4381,NA
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Nordrhein-Westfalen,NW,8851,NA,NA,5115,5238,NA
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Rheinland-Pfalz,RP,3648,NA,NA,2605,1043,NA
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Saarland,SL,878,661,NA,141,274,NA
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Sachsen,SN,2239,38,0,2127,112,NA
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Sachsen-Anhalt,ST,501,167,0,265,230,NA
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Schleswig-Holstein,SH,3062,750,302,823,1103,NA
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Thüringen,TH,1165,182,14,1240,83,NA
2021-01-08T10:00:00Z,2021-01-08T11:29:29Z,Baden-Württemberg,BW,6180,3797,130,1899,748,NA
2021-01-08T10:00:00Z,2021-01-08T11:29:29Z,Bayern,BY,4567,946,14,2779,1202,NA
2021-01-08T10:00:00Z,2021-01-08T11:29:29Z,Berlin,BE,2247,1636,0,707,1501,NA
2021-01-08T10:00:00Z,2021-01-08T11:29:29Z,Brandenburg,BB,3299,593,32,2667,125,NA
2021-01-08T10:00:00Z,2021-01-08T11:29:29Z,Bremen,HB,621,15,3,367,309,NA
2021-01-08T10:00:00Z,2021-01-08T11:29:29Z,Hamburg,HH,1392,373,22,752,81,NA
2021-01-08T10:00:00Z,2021-01-08T11:29:29Z,Hessen,HE,1884,370,248,1078,740,NA
2021-01-08T10:00:00Z,2021-01-08T11:29:29Z,Mecklenburg-Vorpommern,MV,1792,449,91,769,1418,NA
2021-01-08T10:00:00Z,2021-01-08T11:29:29Z,Niedersachsen,NI,7975,1866,1528,5089,5011,NA
2021-01-08T10:00:00Z,2021-01-08T11:29:29Z,Nordrhein-Westfalen,NW,5986,0,0,5504,5720,NA
2021-01-08T10:00:00Z,2021-01-08T11:29:29Z,Rheinland-Pfalz,RP,4991,2154,0,2037,617,NA
2021-01-08T10:00:00Z,2021-01-08T11:29:29Z,Saarland,SL,837,656,0,153,233,NA
2021-01-08T10:00:00Z,2021-01-08T11:29:29Z,Sachsen,SN,2587,127,0,2271,316,NA
2021-01-08T10:00:00Z,2021-01-08T11:29:29Z,Sachsen-Anhalt,ST,1775,439,45,1093,682,NA
2021-01-08T10:00:00Z,2021-01-08T11:29:29Z,Schleswig-Holstein,SH,3831,764,421,1465,1331,NA
2021-01-08T10:00:00Z,2021-01-08T11:29:29Z,Thüringen,TH,974,132,1,2303,148,NA
